year,state_abbv,district_id,dem,winning_party,dem_last_name,rep_last_name,dem_margin,lag_dem_margin_lean,lag_dem_margin_lean_2,year_pvi_coef,pvi
2016,KS,KS.3,0.3415,R,WIESNER,MORAN,-0.31699999999999995,-0.26249786598444863,-0.2276153455716054,0.651803705320124,-0.25035190162760146
2016,KY,KY.3,0.4273,R,GRAY,PAUL,-0.14539999999999997,-0.2710978659844486,-0.2401153455716054,0.651803705320124,-0.260309867176853
2016,LA,LA.3,0.3935,R,CAMPBELL,KENNEDY,-0.21299999999999997,-0.21509786598444863,-0.2645153455716054,0.651803705320124,-0.23230484926911502
2016,MD,MD.3,0.6306,D,VAN HOLLEN,SZELIGA,0.2612000000000001,0.2262021340155514,0.1831846544283946,0.651803705320124,0.2112236070168362
2016,MO,MO.3,0.4854,R,KANDER,BLUNT,-0.029200000000000004,-0.13579786598444865,-0.0768153455716054,0.651803705320124,-0.11526037092581648
2016,NC,NC.3,0.4705,R,ROSS,BURR,-0.05900000000000005,-0.06089786598444863,-0.0721153455716054,0.651803705320124,-0.06480375081234377
2016,ND,ND.3,0.1778,R,GLASSHEIM,HOEVEN,-0.6444,-0.24239786598444862,-0.1636153455716054,0.651803705320124,-0.21496608429115494
2016,NH,NH.3,0.5007,D,HASSAN,AYOTTE,0.0014000000000000679,0.016502134015551367,0.021984654428394604,0.651803705320124,0.018411127308810164
2016,NV,NV.3,0.5132,D,MASTO,HECK,0.02639999999999998,0.028002134015551364,0.05228465442839461,0.651803705320124,0.03645721764879183
2016,NY,NY.3,0.7221,D,SCHUMER,LONG,0.44419999999999993,0.2807021340155514,0.23988465442839463,0.651803705320124,0.26648963886513194
2016,OH,OH.3,0.3904,R,STRICKLAND,PORTMAN,-0.21919999999999995,-0.009897865984448632,-0.028715345571605398,0.651803705320124,-0.016450042651910822
2016,OK,OK.3,0.2662,R,WORKMAN,LANKFORD,-0.4676,-0.3755978659844486,-0.3883153455716054,0.651803705320124,-0.38002604525436356
2016,OR,OR.3,0.6293,D,WYDEN,CALLAHAN,0.25859999999999994,0.08520213401555138,0.09288465442839461,0.651803705320124,0.0878771591571059
2016,PA,PA.3,0.4925,R,MCGINTY,TOOMEY,-0.015000000000000013,0.01440213401555137,0.029184654428394602,0.651803705320124,0.019549352849333013
2016,SC,SC.3,0.3788,R,DIXON,SCOTT,-0.24239999999999995,-0.14639786598444865,-0.16631534557160538,0.651803705320124,-0.15333305857605867
2016,SD,SD.3,0.2817,R,WILLIAMS,THUNE,-0.4366,-0.22459786598444864,-0.1613153455716054,0.651803705320124,-0.202563126858693
2016,UT,UT.3,0.2842,R,SNOW,LEE,-0.4316,-0.5326978659844486,-0.3659153455716054,0.651803705320124,-0.4746248103593258
2016,VT,VT.3,0.6497,D,LEAHY,MILNE,0.2994000000000001,0.32470213401555137,0.3025846544283946,0.651803705320124,0.3170009095756456
2016,WA,WA.3,0.5901,D,MURRAY,VANCE,0.18019999999999992,0.11240213401555138,0.09958465442839459,0.651803705320124,0.10793913511616843
2016,WI,WI.3,0.4827,R,FEINGOLD,JOHNSON,-0.034599999999999964,0.029102134015551367,0.0656846544283946,0.651803705320124,0.04184003207335431
